Policlinic,Message
Nöroloji,Başım ağrıyor
Nöroloji,Başımda basınç hissi
Nöroloji,Başım dönüyor
Nöroloji,Unutkanlık yaşıyorum
Nöroloji,Kulak çınlaması
Nöroloji,Ellerde titreme
Nöroloji,Bacaklarımda uyuşma hissediyorum
Nöroloji,Gözlerim bulanık görüyor
Nöroloji,Denge kaybı yaşıyorum
Nöroloji,Migrenim tekrar başladı şiddetli bir baş ağrım
Nöroloji,Sinirsel sorunlarım arttı 
Nöroloji,Kolumda uyuşma
Nöroloji,Başımda baskı hissediyorum
Nöroloji,Beyin tomografisi yaptırmak istiyorum
Nöroloji,Sürekli baş ağrısı çekiyorum
Nöroloji,Beyin tümörü riski mı?
Nöroloji,Beynimde ağrı
Nöroloji,Beyin fonksiyonlarımda sorun
Nöroloji,Beyin ve omurilik sağlığım bozuk
Nöroloji,Baş dönmesi ve bulantım
Nöroloji,Başımda zonklama
Nöroloji,Parkinson hastalığından şüpheleniyorum
Nöroloji,Sinir bozukluğu yaşıyorum
Nöroloji,Sürekli baş ağrısı ve halsizlik hissediyorum
Nöroloji,Denge sorunları yaşıyorum
Nöroloji,Sürekli uyku hali
Nöroloji,Vücudumda güçsüzlük hissediyorum
Nöroloji,Yüksek stres nedeniyle baş ağrısı yaşıyorum
Nöroloji,Beynimde baskı ağrı yapıyor
Nöroloji,Beyin sağlığım hakkında test yaptırmak istiyorum
Nöroloji,Baş dönmesi nedeniyle yürümekte zorlanıyorum
Nöroloji,Konsantrasyon problemi yaşıyorum
Nöroloji,Baş ağrım çok şiddetli
Nöroloji,Kafamda bir baskı hissediyorum
Nöroloji,Sürekli huzursuz hissediyorum
Nöroloji,Beynimde ağrı tedavi önerisi alabilir miyim?
Nöroloji,Ellerimde karıncalanma
Nöroloji,Beyin testleri için yönlendirme alabilir miyim?
Nöroloji,Beyin ve sinir hastalıkları hakkında bilgi almak istiyorum
Nöroloji,Başımda yoğun ağrı
Nöroloji,Düşünme ve anımsama güçlüğü çekiyorum
Nöroloji,Beynimde garip bir hissiyat
Nöroloji,Zihinsel yorgunluk hissediyorum
Nöroloji,Beyinle ilgili bir sorun olabilir mi?
Nöroloji,Konsantrasyon kaybı yaşıyorum
Nöroloji,Baş dönmem
Nöroloji,Beyin sağlığım hakkında endişelerim baş dönmem de
Nöroloji,Başımda zonklama hissi
Nöroloji,Gözlerim bulanık görüyor
Nöroloji,Bacaklarımda güçsüzlük hissediyorum
Nöroloji,Beynimde garip bir basınç hissediyorum
Nöroloji,Duygusal dengesizlik yaşıyorum
Nöroloji,Kolumda uyuşma hissediyorum
Nöroloji,Ellerde karıncalanma
Nöroloji,Kulaklarımda çınlama
Nöroloji,Başımda baskı hissediyorum
Nöroloji,Sürekli mide bulantısı yaşıyorum
Nöroloji,Başımda ağrı
Nöroloji,Beyin fonksiyonlarımda sorun olduğunu düşünüyorum
Nöroloji,Beynimdeki ağrı şiddetlendi
Nöroloji,Görme bozukluğu yaşıyorum
Nöroloji,Ellerimde güçsüzlük
Nöroloji,Vücudumda garip bir uyuşma hissediyorum
Nöroloji,Uyandığımda başımda şiddetli bir ağrı
Nöroloji,Sürekli baş dönmesi yaşıyorum
Nöroloji,Yavaş düşünme ve hafıza kaybı yaşadım
Nöroloji,Gece uykusuzluk sorunum
Nöroloji,Hafıza kaybı problemi yaşıyorum
Nöroloji,Baş ağrılarımın nedeni nedir?
Nöroloji,Kulaklarımda sürekli uğultu
Nöroloji,Bir tür depresyon hissediyorum
Nöroloji,Sinirsel ağrılarım arttı
Nöroloji,Beyin sağlığım bozuk
Nöroloji,Baş dönmesi nedeniyle denge sorunu yaşıyorum
Nöroloji,Baş ağrımın nedeni stres olabilir mi?
Nöroloji,Beynimdeki ağrı şikayetim
Nöroloji,Nörolojik test istiyorum
Nöroloji,Ağrılarım nedeniyle konsantrasyon sorunu yaşıyorum
Nöroloji,Ellerimde uyuşma hissi
Nöroloji,Görme kaybı yaşıyorum
Nöroloji,Düşüncelerim karışıyor netleştiremiyorum
Nöroloji,Başımda basınç hissi
Nöroloji,Beynimdeki gerilim nedeniyle baş ağrım
Nöroloji,Düşünme hızım yavaşladı
Nöroloji,Beynimdeki ağrının geçmesini istiyorum
Nöroloji,Ellerimde titreme neden olabilir?
Nöroloji,Vücudumda uyuşma ve karıncalanma
Nöroloji,Sinirsel sıkıntılarım nedeniyle konsantrasyon kaybı yaşıyorum
Nöroloji,Zihinsel olarak yoruluyorum
Nöroloji,Baş dönmesi nedeniyle denge kaybı yaşıyorum
Nöroloji,Vücudumda anormal hisler
Nöroloji,Başımda karıncalanma hissediyorum
Nöroloji,Kafamda garip bir baskı
Nöroloji,Zihinsel olarak tükenmiş hissediyorum
Nöroloji,Başımda ağrı ve zonklama hissediyorum
Nöroloji,Gözlerimde bulanıklık görüyorum
Nöroloji,Beyin fonksiyonlarımda zayıflama hissediyorum
Kardiyoloji,Göğsümde sıkışma hissi
Kardiyoloji,Nefes darlığı yaşıyorum
Kardiyoloji,Kalbimde çarpıntı hissediyorum
Kardiyoloji,Göğsümde ağrı özellikle sol tarafımda
Kardiyoloji,Yorgunluk hissediyorum sürekli halsizim
Kardiyoloji,Bazen kalbim hızlı atıyor
Kardiyoloji,Nefes alırken zorlanıyorum
Kardiyoloji,Kalbimde ritim bozukluğu hissediyorum
Kardiyoloji,Göğsümde baskı sanki daralıyor
Kardiyoloji,Ağır bir fiziksel aktivite yapınca nefesim kesiliyor
Kardiyoloji,Sürekli yorgunum uykusuzluk
Kardiyoloji,Göğsümde arada bir ağrı hissediyorum
Kardiyoloji,Kalbimde düzensiz atışlar
Kardiyoloji,Sürekli öksürüğüm nefes almakta zorlanıyorum
Kardiyoloji,Ayaklarımda şişlik oluyor sebebini bilmiyorum
Kardiyoloji,Nefes darlığı nedeniyle gece uyuyamıyorum
Kardiyoloji,Göğsümde sıkışma hissi oluyor nefes alamıyorum
Kardiyoloji,Kalbimde ağrı sağ tarafta hissediyorum
